func,competitor,p_value,v3_mean_direction,significant
F1-D10,CA-static,1.7998679363699207e-07,worse,yes
F1-D10,GWO,2.871949066320324e-11,better,yes
F1-D10,PSO,1.1483348024864044e-10,worse,yes
F1-D10,GA,2.871949066320324e-11,better,yes
F1-D10,WOA,2.871949066320324e-11,better,yes
F1-D10,L-SHADE,2.871949066320324e-11,worse,yes
F1-D10,CMA-ES,2.871949066320324e-11,worse,yes
F2-D10,CA-static,0.8591839142744377,worse,no
F2-D10,GWO,0.0002604562533350631,better,yes
F2-D10,PSO,0.004531054436532459,better,yes
F2-D10,GA,0.04281950731769772,worse,yes
F2-D10,WOA,1.6905880509649904e-05,better,yes
F2-D10,L-SHADE,0.5058591780795985,worse,no
F2-D10,CMA-ES,0.5058591780795985,worse,no
F3-D10,CA-static,5.6570273077146115e-06,worse,yes
F3-D10,GWO,2.871949066320324e-11,better,yes
F3-D10,PSO,0.0016797555161960343,better,yes
F3-D10,GA,2.871949066320324e-11,better,yes
F3-D10,WOA,2.871949066320324e-11,better,yes
F3-D10,L-SHADE,2.5515076130333237e-09,worse,yes
F3-D10,CMA-ES,1.2657957728370553e-10,worse,yes
F4-D10,CA-static,0.32190218598612863,better,no
F4-D10,GWO,8.487224956448374e-10,better,yes
F4-D10,PSO,5.101390926008103e-05,better,yes
F4-D10,GA,1.9308924400541003e-08,better,yes
F4-D10,WOA,1.394973133218814e-10,better,yes
F4-D10,L-SHADE,0.5444075540129325,worse,no
F4-D10,CMA-ES,0.03325779663050038,worse,yes
F5-D10,CA-static,0.882465683286275,better,no
F5-D10,GWO,0.05460886523214059,worse,no
F5-D10,PSO,8.58254984926067e-06,worse,yes
F5-D10,GA,4.266554432209086e-06,better,yes
F5-D10,WOA,8.562993904900837e-11,better,yes
F5-D10,L-SHADE,1.9567799598061055e-10,worse,yes
F5-D10,CMA-ES,2.871949066320324e-11,worse,yes
F6-D10,CA-static,0.23690664278331564,better,no
F6-D10,GWO,3.878714475901378e-11,better,yes
F6-D10,PSO,6.8120053408138045e-09,better,yes
F6-D10,GA,0.00020653120475684413,better,yes
F6-D10,WOA,2.4934439776647224e-08,better,yes
F6-D10,L-SHADE,3.878714475901378e-11,worse,yes
F6-D10,CMA-ES,4.73402068419889e-11,worse,yes
