func,algo,best,mean,std,median,worst
F7-D10,CA,0.6315693061669663,20.063934465763282,5.305791459266871,21.09598224866727,29.52024225929449
F7-D10,CA-static,1.1293333284418168,19.73499114566229,8.4061944103411,21.579259850980407,46.0805194176603
F7-D10,GWO,24.91848398981915,46.96060961052631,18.62538985337826,40.07916797790813,103.72528461710544
F7-D10,PSO,22.106185385956678,30.41834093768311,10.338325986436443,27.03394925520479,69.07225772651236
F7-D10,GA,1.9840465163160843,25.732869279367232,11.989531108444668,21.630078328509967,49.261529457793586
F7-D10,WOA,32.580263031250524,374.89010487137887,315.0187322831479,240.04960018704787,1261.7856685549814
F7-D10,L-SHADE,1.1752513364169772,12.159174386453378,9.21196339149425,14.822663104720277,22.130138200489228
F7-D10,CMA-ES,3.382278370234417,27.69378393908217,13.294058807115542,22.9961704802173,63.706691634145045
F8-D10,CA,2.351028243167093,21.15435852083383,5.843174275598415,21.513500330008128,35.07111313030828
F8-D10,CA-static,0.9059418881643069,19.15841747138931,6.818809413403488,21.673300126125696,22.746140424093483
F8-D10,GWO,27.490182179221847,555.435237588877,659.0773417930753,405.5236649323035,2945.003366628639
F8-D10,PSO,6.389425499674871,407.15281488384863,894.785951364247,24.973773631217,2663.3747571922468
F8-D10,GA,2.8495145278502605,56.54311025027176,100.10670346970528,21.916173596876206,439.02442787224163
F8-D10,WOA,266.4823544028418,1923.6786171957451,1228.8852615699718,1668.504495673506,4529.364640217944
F8-D10,L-SHADE,0.7092034417637478,18.931724610574687,5.969558810811589,20.803053218439572,23.228303806265558
F8-D10,CMA-ES,2.1444635747652683,20.194266456817164,7.352887246671908,23.43953797542349,26.411166772590605
F9-D10,CA,1.277733235838241e-05,183.83406009310082,183.8470619513796,180.4430641874967,371.7814540266777
F9-D10,CA-static,2.482920535840094e-09,208.33428869969032,182.21377075414875,359.5591183416352,373.58021377814566
F9-D10,GWO,360.59791066146954,375.33675474810167,27.197866274718187,369.1854441436544,517.9893280675051
F9-D10,PSO,1.6697526916686911e-06,328.89636189535486,141.22747081995038,370.1079759592383,465.0814761776869
F9-D10,GA,0.017280760012909013,285.58926776462937,158.1418146870254,369.7415505738327,445.61184970012073
F9-D10,WOA,7.589403198200671,416.5369094676315,140.3537190803395,430.53981507257004,728.9706119215357
F9-D10,L-SHADE,4.547473508864641e-13,275.3056643316094,151.8798812694168,359.09434478035973,359.094344780362
F9-D10,CMA-ES,359.0943447803593,359.0943447803591,1.7053025658242404e-13,359.0943447803593,359.0943447803593
F10-D10,CA,-2068.274604460117,-840.3882810902552,774.0609090004262,-962.8432475013365,338.51549337538654
F10-D10,CA-static,-2797.7764661333463,-908.9635349675092,884.8470939182765,-843.3290786574581,331.1840808018346
F10-D10,GWO,-2249.190759077656,-572.6646853819097,726.3530923107942,-362.04406730156506,314.1264565024494
F10-D10,PSO,-2757.0490426162364,-378.8042520608329,833.5324713569453,-36.06677289980939,323.81194080980913
F10-D10,GA,-2178.6954752524925,-228.31199184581752,637.819779454845,-43.03609300277026,353.127599619384
F10-D10,WOA,-2035.5644524990903,-42.575006724646215,621.1653412424707,246.56178385145495,543.5243435878451
F10-D10,L-SHADE,-3450.101262267177,-698.1603508791891,899.2280242664885,-749.0528646354301,320.089105707154
F10-D10,CMA-ES,-2353.1325749474736,50.52232949054027,531.2225478569113,193.98776028244902,320.5440698506245
F11-D10,CA,2.7895976018044166e-06,0.00016533074607044302,0.0006121894252679685,3.570327521629224e-05,0.0034506548045101226
F11-D10,CA-static,-838.8479261930452,29.004927867296903,267.0114361521868,3.4271124604856595e-08,861.3057996377765
F11-D10,GWO,0.11733350669010179,295.6047578078409,397.9159864141446,26.785756469696253,869.4828111653501
F11-D10,PSO,5.08751327288337e-07,75.748126792609,213.7052598857387,20.021200343680675,881.7721239226821
F11-D10,GA,0.007085407878093974,29.28053296791642,153.82591318697774,0.018484492077959658,857.4226640141269
F11-D10,WOA,0.08366159432171116,262.8169980014512,391.0596470950015,66.19886876789428,1250.7644415283175
F11-D10,L-SHADE,4.547473508864641e-13,27.889112415880618,150.18746668421318,9.094947017729282e-13,836.6733724763913
F11-D10,CMA-ES,3.0877345125190914e-10,446.30091096371837,423.5257086755645,659.9365150190383,864.8523585970779
F12-D10,CA,-41.021612058606934,142.71296857303494,42.05234706876934,157.1160252944669,167.76125124513146
F12-D10,CA-static,105.60513820502956,151.12007625954863,13.469365546026905,154.83956810262043,163.92647436245943
F12-D10,GWO,120.32586488549168,154.06509378744752,10.479188444482078,152.5441161998674,170.14339815249605
F12-D10,PSO,130.01297488110322,169.27648035364135,13.755803617370976,169.8351636082691,209.72039242466735
F12-D10,GA,121.68090219265468,158.42377792330052,12.375099201136168,158.77923287829617,192.4379127677862
F12-D10,WOA,129.2972993109356,257.8235298451353,69.60065838778664,251.75923562845946,438.3655939573955
F12-D10,L-SHADE,93.00206992030826,152.37291998926503,11.824173002630747,155.37775328462044,159.856116736687
F12-D10,CMA-ES,159.10532478937557,161.30912641076895,1.1742827752201024,161.4519183968432,163.25623216013355
