func,competitor,p_value,v3_mean_direction,significant
F1-D20,CA-static,3.5097576968084746e-11,worse,yes
F1-D20,GWO,2.871949066320324e-11,better,yes
F1-D20,PSO,2.871949066320324e-11,better,yes
F1-D20,GA,2.871949066320324e-11,better,yes
F1-D20,WOA,2.871949066320324e-11,better,yes
F1-D20,L-SHADE,2.871949066320324e-11,worse,yes
F1-D20,CMA-ES,2.871949066320324e-11,worse,yes
F2-D20,CA-static,0.48713803171001935,worse,no
F2-D20,GWO,0.21427650986147706,better,no
F2-D20,PSO,0.9293151249146342,better,no
F2-D20,GA,0.1241512810914928,worse,no
F2-D20,WOA,3.5097576968084746e-11,better,yes
F2-D20,L-SHADE,6.263888249513192e-08,worse,yes
F2-D20,CMA-ES,8.121073122605465e-09,worse,yes
F3-D20,CA-static,3.175217248667983e-11,worse,yes
F3-D20,GWO,2.871949066320324e-11,better,yes
F3-D20,PSO,2.871949066320324e-11,better,yes
F3-D20,GA,2.871949066320324e-11,better,yes
F3-D20,WOA,2.871949066320324e-11,better,yes
F3-D20,L-SHADE,2.871949066320324e-11,worse,yes
F3-D20,CMA-ES,2.871949066320324e-11,worse,yes
F4-D20,CA-static,0.0236963474859871,better,yes
F4-D20,GWO,1.2077179187889386e-05,better,yes
F4-D20,PSO,0.0005715431241255692,better,yes
F4-D20,GA,3.2610863452154165e-05,better,yes
F4-D20,WOA,2.871949066320324e-11,better,yes
F4-D20,L-SHADE,6.779815807390197e-07,worse,yes
F4-D20,CMA-ES,1.1483348024864044e-10,worse,yes
F5-D20,CA-static,0.7449863001756435,better,no
F5-D20,GWO,0.09479279235540534,worse,no
F5-D20,PSO,0.32190218598612863,better,no
F5-D20,GA,0.06676261397076391,better,no
F5-D20,WOA,3.5097576968084746e-11,better,yes
F5-D20,L-SHADE,7.043620777040637e-10,worse,yes
F5-D20,CMA-ES,2.871949066320324e-11,worse,yes
F6-D20,CA-static,0.3671365812484356,better,no
F6-D20,GWO,2.2603904862877002e-10,better,yes
F6-D20,PSO,5.3080990508480305e-08,better,yes
F6-D20,GA,0.002103893109417948,better,yes
F6-D20,WOA,1.2555706904068687e-08,better,yes
F6-D20,L-SHADE,0.5945602565439676,worse,no
F6-D20,CMA-ES,9.193236731325049e-06,better,yes
