func,algo,best,mean,std,median,worst
F1-D20,CA,7.534420382171447e-05,0.0003009508384309356,0.00021270419632244984,0.000249084636209318,0.0011732439086244995
F1-D20,CA-static,2.56069029092032e-07,1.2141934869684215e-05,2.360561679282625e-05,3.771489417658813e-06,0.00012640660423812733
F1-D20,GWO,6.578085338272956,2182.4435815760635,2794.9023842547967,1496.1623037115844,10301.291029084396
F1-D20,PSO,0.005895499050268427,766.9175633067645,3526.2702283228646,0.06121152669129515,19676.704997832796
F1-D20,GA,0.028119842611772583,0.11635580566687433,0.04907960200924081,0.12206623109372572,0.24456379992250277
F1-D20,WOA,771.7204359695006,12769.886772247493,12022.18709573993,9077.461358512573,48717.28563558484
F1-D20,L-SHADE,5.684341886080802e-14,3.285170654028964e-11,1.0691245953331347e-10,1.2505552149377763e-12,5.810534275951795e-10
F1-D20,CMA-ES,0.0,1.081919738984046e-12,4.33434910127859e-12,0.0,2.290789780090563e-11
F2-D20,CA,1.4776155483541515,62.748514806139106,18.65894742785346,71.54384981659885,93.99993610500235
F2-D20,CA-static,28.17527253149018,61.533483238153416,13.454602332907589,69.48517208153146,77.4300508240537
F2-D20,GWO,45.65032431739053,101.75653242511953,71.8645339676868,70.26695998668765,296.204133760737
F2-D20,PSO,27.555558591581416,73.0165714697553,33.92641850567816,62.12416468263211,168.28546019758846
F2-D20,GA,44.99729970122786,60.2392368278091,12.06515987392453,51.44215774575872,80.72438670356462
F2-D20,WOA,81.83111740352075,226.43472017937384,125.1493722380197,196.52237102832896,762.8123513264998
F2-D20,L-SHADE,44.89546931745144,48.73135905711618,5.443667201871095,49.08447897959513,76.19196818444226
F2-D20,CMA-ES,44.89546931745133,48.665578013278235,1.256702898608967,49.08447897948122,49.08447897948122
F3-D20,CA,6.30052454653196e-10,6.264989830621441e-09,3.0652204499056034e-09,6.062862212274922e-09,1.49887000588933e-08
F3-D20,CA-static,4.547473508864641e-13,4.7877316925829896e-11,2.0611483612296412e-10,4.035882739117369e-12,1.1534666555235162e-09
F3-D20,GWO,0.00014505341050607967,0.03999057339085918,0.05870984020398927,0.020737922610862825,0.19372787428346783
F3-D20,PSO,2.414810751361074e-08,0.09292641967972107,0.09128406371667083,0.06573331396737103,0.3887035395739531
F3-D20,GA,2.748651013462222e-07,8.940051732982587e-07,4.5429095623252383e-07,8.661289143674367e-07,1.7731903199091903e-06
F3-D20,WOA,0.016035842105793563,0.08429333026710992,0.1134041058941867,0.04734885165441938,0.5658528518754338
F3-D20,L-SHADE,1.1368683772161603e-13,2.8421709430404007e-13,1.337129921950187e-13,2.2737367544323206e-13,6.821210263296962e-13
F3-D20,CMA-ES,0.0,0.0,0.0,0.0,0.0
F4-D20,CA,44.00000219227604,95.26668056047123,27.170981041603575,91.00000024447235,172.00002235515933
F4-D20,CA-static,52.00002552172759,110.20000474398108,28.163093736272604,105.00000011992114,176.00000007578114
F4-D20,GWO,48.044316528812146,184.4000363691776,68.59694884771748,206.37970965436512,268.8842801647861
F4-D20,PSO,66.00003289379174,129.1205855359278,39.35175606263265,124.36072248446544,198.63844279437308
F4-D20,GA,56.00182641107597,141.06675257218896,44.204645310758266,145.00000026156414,250.00000019077333
F4-D20,WOA,223.5224661469249,408.2638374269333,78.41874466761102,414.7950847400431,521.0405218456899
F4-D20,L-SHADE,30.012708395432924,59.63700626483216,17.840223834271416,57.01352305678779,106.02650327645154
F4-D20,CMA-ES,24.000000005399215,43.866708481349114,10.544247423410793,44.000001385535825,64.00000000019861
F5-D20,CA,0.08955714655985503,1.5879233127576602,0.8433757746623737,1.5426298624204833,4.272043227309041
F5-D20,CA-static,0.45438218998970115,1.6276584693383862,0.76699745079153,1.5420424706168774,3.9952711615194403
F5-D20,GWO,0.0016419269989000895,1.310758956222143,1.1742728561874352,0.9218820879162308,4.1820862117959905
F5-D20,PSO,0.0002292315815566326,1.7190245339187564,1.852342817953482,0.6821137069773044,6.591514611443927
F5-D20,GA,0.17982840314459736,3.178844998416476,2.8029548924190437,1.9987511498114827,10.475284111330097
F5-D20,WOA,3.637534052996216,10.221514970588782,4.2521515322675185,9.27470524298343,17.479713039249077
F5-D20,L-SHADE,5.684341886080801e-13,0.22582545695624578,0.2831147581325088,0.1790565008335534,0.9981762876054745
F5-D20,CMA-ES,0.0,0.002984275013883083,0.016070812779574013,0.0,0.08952825041649248
F6-D20,CA,9908.632278251192,39707.10473377747,16673.445511633265,37659.55011806965,95083.03091663684
F6-D20,CA-static,22369.982041797837,43120.323553518734,15203.666589546228,39024.23829737619,80153.37059803792
F6-D20,GWO,42667.39115635185,1138241.375489508,3606916.641588244,109007.06040974721,16020709.341462955
F6-D20,PSO,21531.064568029156,520674.8975229909,2358749.6229662597,79935.6307748818,13222172.404109025
F6-D20,GA,17044.931797041994,59026.89297748024,23761.093303646045,60151.48252189159,109082.29447138563
F6-D20,WOA,36681.6101743425,772476.3501724937,3225432.5007517105,77986.01722105233,17967382.85184198
F6-D20,L-SHADE,12657.401938462679,37167.27649112571,16169.42887363621,35350.70806613563,74189.96853066576
F6-D20,CMA-ES,5230.696737620731,62252.313387161514,19332.385821752243,58897.65396191865,107449.57456391305
