problem,variant,ratio_vs_default,deviation_pct,p_value,flag_20pct
F1,role_fractions_low,73.25876216126186,7225.876216126186,0.0009774894967845592,yes
F1,role_fractions_high,1.0473407420665075,4.734074206650751,0.173777038979135,no
F1,theta0_low,1.0116911850538828,1.169118505388278,0.7116726254873127,no
F1,theta0_high,0.8212539499564927,-17.87460500435073,0.35163696900500074,no
F1,castling_period_low,1.2924676953218437,29.24676953218437,0.5058591780795985,yes
F1,castling_period_high,1.234242347457037,23.4242347457037,0.39938939501369475,yes
F1,stall_break_low,1.0,0.0,1.0,no
F1,stall_break_high,1.0,0.0,1.0,no
F1,pin_max_low,1.0578151088437155,5.781510884371555,0.7116726254873127,no
F1,pin_max_high,1.1299536225987064,12.995362259870635,0.8130052876119973,no
F4,role_fractions_low,1.8691256948262729,86.91256948262729,3.6431710502669515e-10,yes
F4,role_fractions_high,0.6851911642225726,-31.480883577742734,9.44045721202458e-08,yes
F4,theta0_low,1.1186722489181902,11.867224891819017,0.18823652537740343,no
F4,theta0_high,1.0088409695110199,0.8840969511019869,0.9175733096128048,no
F4,castling_period_low,1.0879097081440663,8.790970814406629,0.13928936568684838,no
F4,castling_period_high,1.0477494554203577,4.774945542035769,0.47791970420909247,no
F4,stall_break_low,0.966371321468026,-3.3628678531974043,0.6467245773434841,no
F4,stall_break_high,0.99998564565684,-0.001435434315999462,0.8883028421533887,no
F4,pin_max_low,1.101081867662894,10.108186766289396,0.11366474781596309,no
F4,pin_max_high,0.9995949817581777,-0.040501824182226365,0.6361406857702461,no
F13,role_fractions_low,2.0960175550127462,109.60175550127462,0.002103893109417948,yes
F13,role_fractions_high,0.7732806015742981,-22.67193984257019,0.21978226081614072,yes
F13,theta0_low,0.7654578329207546,-23.454216707924537,0.26750270341605364,yes
F13,theta0_high,0.7882382207149372,-21.176177928506277,0.4508458012735146,yes
F13,castling_period_low,1.188781479639704,18.878147963970406,0.882465683286275,no
F13,castling_period_high,0.6531346547729941,-34.68653452270058,0.5153597975802848,yes
F13,stall_break_low,0.877491517259848,-12.250848274015203,0.6789005364668961,no
F13,stall_break_high,1.0207983545593342,2.079835455933421,0.9175733096128048,no
F13,pin_max_low,0.8893582066811518,-11.064179331884816,0.8360239504893114,no
F13,pin_max_high,1.0795733634648041,7.957336346480415,0.5058591780795985,no
F22,role_fractions_low,1.0585513623407403,5.855136234074032,0.00021893128820730013,no
F22,role_fractions_high,0.8522121077632745,-14.77878922367255,2.513753833380813e-05,no
F22,theta0_low,1.0232500034882643,2.3250003488264337,0.3440449406444759,no
F22,theta0_high,1.1223593997164496,12.23593997164496,0.7338250612126413,no
F22,castling_period_low,0.9294170908804894,-7.05829091195106,0.10707027092382157,no
F22,castling_period_high,0.8680055553598142,-13.199444464018583,0.7338250612126413,no
F22,stall_break_low,0.9988905567556507,-0.11094432443492508,0.9823070530800847,no
F22,stall_break_high,0.9999917061423784,-0.0008293857621577416,0.9823070530800847,no
F22,pin_max_low,0.8902729201798699,-10.972707982013008,0.8708108045360416,no
F22,pin_max_high,0.8239133330927741,-17.608666690722586,0.14737285954906498,no
WeldedBeam,role_fractions_low,1.0457939813891062,4.5793981389106175,0.0004584823042156212,no
WeldedBeam,role_fractions_high,0.9720872793564269,-2.7912720643573086,6.974496589247281e-06,no
WeldedBeam,theta0_low,0.989841960815148,-1.015803918485203,0.6467245773434841,no
WeldedBeam,theta0_high,0.9832358034611778,-1.6764196538822218,0.27393415445229274,no
WeldedBeam,castling_period_low,1.0109021907137208,1.0902190713720783,0.4077113766456857,no
WeldedBeam,castling_period_high,0.9987144911088026,-0.12855088911973844,0.7562013389413471,no
WeldedBeam,stall_break_low,0.9843852446039129,-1.5614755396087143,0.882465683286275,no
WeldedBeam,stall_break_high,1.0043942706884488,0.4394270688448776,0.8130052876119973,no
WeldedBeam,pin_max_low,1.0,0.0,1.0,no
WeldedBeam,pin_max_high,1.0,0.0,1.0,no
BerthP2,role_fractions_low,1.1334953933349647,13.349539333496473,0.1241512810914928,no
BerthP2,role_fractions_high,0.9848827355326211,-1.5117264467378932,0.6789005364668961,no
BerthP2,theta0_low,1.043676276068601,4.367627606860092,0.46879758624609646,no
BerthP2,theta0_high,1.0701451135449533,7.014511354495334,0.3147327134935656,no
BerthP2,castling_period_low,1.0017238572426692,0.17238572426692134,0.39117045199768474,no
BerthP2,castling_period_high,1.0637331646035557,6.373316460355571,0.8941460645782624,no
BerthP2,stall_break_low,1.0491253883163205,4.912538831632052,0.9587314908134437,no
BerthP2,stall_break_high,1.0,0.0,1.0,no
BerthP2,pin_max_low,1.0210897313829521,2.1089731382952115,0.7562013389413471,no
BerthP2,pin_max_high,1.0084110188816646,0.8411018881664623,0.8941460645782624,no
