Function,F-statistic,p-value
Sphere,605.0734993725955,2.3884124226242518e-89
Rosenbrock,427.0054522413554,4.066710250428285e-79
Rastrigin,786.0054140522368,3.6209337001337284e-97
Griewank,451.249481692992,1.0113666257622272e-80
Ackley,698.5510268500174,1.2506788994850348e-93
Schwefel 2.22,4.403326523014919,0.0021749211452126416
