Algorithm,Mean delay (veh-h/h),Std,Best,Worst
CA,170.61827664042968,5.236343007610597,166.52569538062326,179.53956450158017
GA,171.16016762822807,4.894675758768868,166.52622017392468,178.4695545924335
PSO,169.49116174582213,3.6661654034897073,166.52630328957036,179.94638823102073
GWO,170.5064510851982,2.817739763930404,166.7387306562488,177.9869723900382
