div_open,div_end,function,mean_error,std_error
0.15,0.03,F4_Rastrigin,412.7228607595449,103.00252027655029
0.15,0.03,F13_Hybrid4,555355.6187697322,643814.9959864807
0.22,0.045,F4_Rastrigin,370.8116967698098,77.71094773844152
0.22,0.045,F13_Hybrid4,295824.24514614686,185932.53268335422
0.3,0.06,F4_Rastrigin,452.1050689386713,140.94015167391916
0.3,0.06,F13_Hybrid4,255061.47484385996,173927.80541524105
0.22,0.09,F4_Rastrigin,397.9626209631073,95.90345024755618
0.22,0.09,F13_Hybrid4,430573.25566912594,262904.6087706692
