func,competitor,p_value,v3_mean_direction,significant
F7-D20,CA-static,0.08909163442771982,worse,no
F7-D20,GWO,0.018005351025415707,better,yes
F7-D20,PSO,0.6256305639654389,better,no
F7-D20,GA,0.000833930330010351,worse,yes
F7-D20,WOA,2.871949066320324e-11,better,yes
F7-D20,L-SHADE,1.4152671991668868e-07,worse,yes
F7-D20,CMA-ES,4.780660429203292e-09,worse,yes
F8-D20,CA-static,0.8941460645782624,better,no
F8-D20,GWO,2.871949066320324e-11,better,yes
F8-D20,PSO,1.943301315923336e-09,better,yes
F8-D20,GA,0.012999482492838093,better,yes
F8-D20,WOA,5.772986300873358e-11,better,yes
F8-D20,L-SHADE,2.871949066320324e-11,worse,yes
F8-D20,CMA-ES,3.343643661506718e-09,worse,yes
F9-D20,CA-static,0.08634644641194693,worse,no
F9-D20,GWO,1.204416246623813e-07,better,yes
F9-D20,PSO,3.478526028053454e-05,better,yes
F9-D20,GA,3.056599868359383e-05,worse,yes
F9-D20,WOA,4.285539284060643e-11,better,yes
F9-D20,L-SHADE,2.871949066320324e-11,worse,yes
F9-D20,CMA-ES,2.871949066320324e-11,worse,yes
F10-D20,CA-static,0.7787839689422886,better,no
F10-D20,GWO,7.033945524801963e-11,better,yes
F10-D20,PSO,0.0001632289182485593,better,yes
F10-D20,GA,0.847587480259332,worse,no
F10-D20,WOA,6.974496589247281e-06,better,yes
F10-D20,L-SHADE,0.20887092391866158,worse,no
F10-D20,CMA-ES,1.9303262789851868e-06,better,yes
F11-D20,CA-static,0.39938939501369475,better,no
F11-D20,GWO,1.8647261589758647e-10,better,yes
F11-D20,PSO,1.6931348391614488e-10,better,yes
F11-D20,GA,2.2042356552493558e-05,better,yes
F11-D20,WOA,3.878714475901378e-11,better,yes
F11-D20,L-SHADE,0.0001139754246379726,better,yes
F11-D20,CMA-ES,2.871949066320324e-11,worse,yes
F12-D20,CA-static,0.8941460645782624,better,no
F12-D20,GWO,0.07604147583024337,better,no
F12-D20,PSO,0.0008794537064726178,better,yes
F12-D20,GA,0.4161358470782788,worse,no
F12-D20,WOA,2.871949066320324e-11,better,yes
F12-D20,L-SHADE,2.5832395988225177e-06,worse,yes
F12-D20,CMA-ES,0.0006036108413660962,worse,yes
